,id,text,label,predictor,confidence
0,1,RT @mention The @mention iPhone app is unreal. Just clicked on the location of #LeanStartup &amp; had a person there tell me there are still seats. #sxsw,0,,
1,2,Mine toooo! RT @mention My #iPad envy is through. the. roof. Thanks every other person at #SXSW,0,,
2,3,Tablets like the iPad and Xoom where touch emulates a mouse-click/keyboard input means we're not there yet. #sxsw #gswsxsw #futureoftouch,2,,
3,4,"I'd love to get my #ipad2 at the #apple store that's popping up downtown tomorrow, but lack the patience for #SXSW douchebaggery.",0,,
4,5,RT @mention &quot;Apple likes it if you pay them. That's what Apple likes.&quot; - Barry Diller #SXSW (@mention ACC - Ballroom D) [pic]: <URL>,1,,
5,6,RT @mention @mention worked with @mention to create open-source s2 to fill the gap needed by location-based applications that use nosql db model #sxsw,1,,
6,7,"#SXSW predicts Group-Texting to be next-big thing, Fast Society Comes to Android &amp; Updates iPhone App - <URL> - via @mention",1,,
7,8,"RT @mention My 1st #Billboard article: Apple, Spotify, Pandora: Tech Invades Austin @mention SXSWi 2011 <URL> #SxSW",1,,
8,9,"Very timely #SXSW RT @mention Bing's search engine share continues to rise, up to 13.6%. Google still tops at 65.4% <URL>",0,,
9,10,#technology Google to launch new social network at #SXSW?: A report claims Google might use a SXSW event this... <URL> #tech,1,,
10,11,"According to Marissa Mayer, 40% of Google Maps usage is mobile. #sxsw",1,,
11,12,@mention our Android &amp; iPhone app launches at #sxsw also. keep your handy lil device updated w/event info <URL> #eventseekr,0,,
12,13,@mention Saw u r going to #SXSW. Dwnld #GroundLink app &amp; ride for $10 in Austin during SXSWi <URL> see us booth 437,1,,
13,14,"@mention check out GoogleTV to iPad Apps: The Connected TV Experience
<URL> #SXSW #ConnectedTV",1,,
14,15,Catch 22â€_ I mean iPad 2 at #SXSW - <URL> #apple #ipad2,0,,
15,16,#Apple to Open Pop-Up Shop at #SXSW [REPORT] <URL> (via @mention,1,,
16,17,RT @mention From #Apple to Naomi Campbell: pop-up stores are all the rage: <URL> #sxsw,1,,
17,18,"RT @mention Details for the iPad 2 giveaway coming tonight, RT this! #SXSW #sxswi - What about folks NOT at SXSW?",0,,
18,19,"free #iPad Lounge open daily for #SXSW serving art made on iPads, and local art, free coffee, @mention Austin Details <URL> #photo",1,,
19,20,looking forward to hearing  google's @mention present today at #sxsw,0,,
20,21,"@mention &quot;OMG I'm gonna miss 2 panels at #sxsw standing in line for and 1 panel playing with my new iPad, but it'll be worth it. #ponies&quot;",0,,
21,22,N14: There will be Blood <URL> [codes valid: 4:00-7:59:59p 03/12/11] #infektd #sxsw #necro,1,,
22,23,"RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today  at #SXSW <URL>",0,,
23,24,"Gearing up to make a splash, @mention to Launch &quot;Groupon or Living Social-type&quot; Rewards at #SXSW <URL> via @mention",1,,
24,25,Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. <URL> #sxswh #sxsh,0,,
25,26,Shut. Up. RT @mention It's not a rumor: Apple is opening a temp store in downtown Austin for #SXSW &amp; the iPad 2 launch. <URL>,1,,
26,27,Love it. @mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;,0,,
27,28,Sitting down in the indie iPhone dev session. #Sxsw let's see what this is like...,1,,
28,29,"So far, my @mention iPhone and MiFi have been rock solid here at #SXSW (cc @mention @mention",0,,
29,30,@mention go.  &quot;@mention I'll be at the Austin Convention Center today w/ my @mention fam... showing my new iPhone game.  #SXSW&quot;,1,,
30,31,"brilliant!! marketing!  &quot;Apple will be opening a temporary store in downtown Austin&quot; next to #sxsw

and the world buy it.",0,,
31,32,Is it just me or has the @mention client for Android gotten really buggy lately? #SXSW to blame?,2,,
32,33,"At the Team Android party. Can't find it on Gowalla or Foursquare, so um, there you go. #sxsw",1,,
33,34,Orly....? â€œ@mention Google set to launch new social network #Circles today at #sxswâ€ù,1,,
