id,text,label,predictor,confidence
1,".@wesley83 I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.",3,,
2,"@jessedee Know about @fludapp ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at #SXSW",1,,
3,@swonderlin Can not wait for #iPad 2 also. They should sale them down at #SXSW.,1,,
4,@sxsw I hope this year's festival isn't as crashy as this year's iPhone app. #sxsw,3,,
5,"@sxtxstate great stuff on Fri #SXSW: Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)",1,,
6,@teachntech00 New iPad Apps For #SpeechTherapy And Communication Are Showcased At The #SXSW Conference <URL> #iear #edchat #asd,2,,
7,"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",1,,
8,Beautifully smart and simple idea RT @madebymany @thenextweb wrote about our #hollergram iPad app for #sxsw! <URL>,1,,
9,Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear,1,,
10,Excited to meet the @samsungmobileus at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail,1,,
11,Find &amp; Start Impromptu Parties at #SXSW With @HurricaneParty <URL> I can't wait til the Android app comes out.,1,,
12,"Foursquare ups the game, just in time for #SXSW <URL> - Still prefer @Gowalla by far, best looking Android app to date.",1,,
13,Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @hamsandwich via @ischafer =&gt;<URL>,1,,
14,Great #sxsw ipad app from @madebymany: <URL>,1,,
15,"haha, awesomely rad iPad app by @madebymany <URL> #hollergram #sxsw",1,,
16,Holler Gram for iPad on the iTunes App Store -  <URL> (via @marc_is_ken) #sxsw,2,,
17,I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone,3,,
18,"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.",1,,
19,Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - <URL>,1,,
20,Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,1,,
21,"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",1,,
22,"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",1,,
23,"Photo: Just installed the #SXSW iPhone app, which is really nice! <URL>",1,,
24,Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,1,,
25,"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",1,,
26,"RT haha, awesomely rad iPad app by @madebymany <URL> #hollergram #sxsw (via @michaelpiliero)",1,,
27,"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",1,,
28,The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight <URL> #SXSW #KeepAustinWeird,1,,
29,"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",1,,
30,Very smart from @madebymany #hollergram iPad app for #sxsw! <URL> (may leave my vuvuzela at home now),1,,
31,You must have this app for your iPad if you are going to #SXSW <URL> #hollergram,1,,
32,"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. <URL>",2,,
33,Anyone at  #sxsw want to sell their old iPad?,2,,
34,Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,2,,
35,"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today <URL>",2,,
36,The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,1,,
37,SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com <URL> #iTunes #sxsw @mention,2,,
38,@mention  - False Alarm: Google Circles Not Coming Nowâ€“and Probably Not Ever? - <URL> #Google #Circles #Social #SXSW,3,,
39,VatorNews - Google And Apple Force Print Media to Evolve? <URL> #sxsw,2,,
40,@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,1,,
41,"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether youâ€™re getting friend... <URL>",2,,
42,Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and weâ€™ll make you one!,2,,
43,Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets <URL>,2,,
44,For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... <URL>,2,,
45,#IPad2 's â€˜#SmartCoverâ€™ Opens to Instant Access - I should have waited to get one! - <URL> #apple #SXSW,1,,
46,Hand-Held â€˜Hoboâ€™: Drafthouse launches â€˜Hobo With a Shotgunâ€™ iPhone app #SXSW <URL>,1,,
47,HOORAY RT â€œ@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention <URL>,1,,
48,Orly....? â€œ@mention Google set to launch new social network #Circles today at #sxswâ€ù,2,,
49,wooooo!!! â€œ@mention Apple store downtown Austin open til Midnight. #sxswâ€ù,1,,
50,Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,2,,
51,"â€œ@mention <URL> &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",2,,
52,â˜º WHAT? â˜_ <URL> â„_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,2,,
53,".@mention @mention on the location-based 'fast, fun and future' - <URL> (via @mention #sxsw",2,,
54,â€œ@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - <URL> #sxswâ€ù @mention,2,,
55,â€œ@mention @mention talking about <URL> - Google's effort to allow users to have open systems #bettercloud #sxswâ€ù,1,,
56,"<URL> RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",2,,
57,<URL> RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,1,,
58,<URL> RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  <URL>,2,,
59,@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW <URL>,2,,
60,&quot;via @mention : <URL> Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,2,,
61,"#futuremf @mention <URL> spec for recipes on the web, now in google search: <URL>  #sxsw",2,,
62,#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: <URL> #sxsw #iPad2,1,,
63,"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",2,,
64,Again? RT @mention Line at the Apple store is insane.. #sxsw,3,,
65,Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,2,,
66,At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. <URL> Join us!,2,,
67,attending @mention iPad design headaches #sxsw <URL>,3,,
68,"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",3,,
69,Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  <URL>,1,,
70,Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,2,,
71,Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,2,,
72,"Do it. RT @mention Come party w/ Google tonight at #sxsw! <URL> - Bands, food, art, ice cream, nifty interactive maps!",1,,
73,Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. <URL>,2,,
74,"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",2,,
75,Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,1,,
76,I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,1,,
77,I worship @mention <URL> #SXSW,2,,
78,"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",2,,
